<b>Standard familiar</b><br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Reference</b>	|	<b>Requirement</b>	|	<b>Granted bonus</b>	|	<b>Note</b><br />
Sewerm	|<div style="text-align: center;">	SK p85	</div>|<div style="text-align: center;">	SK p140	</div>|<div style="text-align: center;">	Yuan-ti	</div>|<div style="text-align: center;">	Masters gains a +3 on Bluff checks	</div>||<br />
Hairy Spider	|<div style="text-align: center;">	MoF p79	</div>|<div style="text-align: center;">	MoF p80	</div>||||<br />
Compsognathus	|<div style="text-align: center;">	#318 p64	</div>|<div style="text-align: center;">	#318 p69	</div>||<div style="text-align: center;">	Masters gains a +3 on Hide checks	</div>||<br />
Rhamphorhynchus	|<div style="text-align: center;">	#318 p68	</div>|<div style="text-align: center;">	#318 p69	</div>||<div style="text-align: center;">	Masters gains a +3 on Initiative checks	</div>||<br />
Critic lizard	|<div style="text-align: center;">	Du110 p87	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +2 on Reflex saves	</div>||<br />
Floater	|<div style="text-align: center;">	Du110 p88	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 on Sense motives checks	</div>||<br />
Hurrum, speckled	|<div style="text-align: center;">	Du110 p89	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 on Diplomacy checks	</div>||<br />
Jankx	|<div style="text-align: center;">	Du110 p90	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 on Listen checks	</div>||<br />
Kes’trekei	|<div style="text-align: center;">	Du110 p91	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>||<br />
Mulworm	|<div style="text-align: center;">	Du110 p93	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 hit points	</div>||<br />
Ramphor	|<div style="text-align: center;">	Du110 p94	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 on Spot checks	</div>||<br />
Z’tal	|<div style="text-align: center;">	Du110 p98	</div>|<div style="text-align: center;">	#319 p36	</div>|<div style="text-align: center;">	Dark-sun	</div>|<div style="text-align: center;">	Masters gains a +3 on Intimidate checks	</div>||<br />
Turtle	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Abjurers	</div>|<div style="text-align: center;">	Masters gains a +1 to AC when prone or behind cover	</div>|<div style="text-align: center;">	Stat: Hedgehog without poison quills	</div>|<br />
Hummingbird	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Conjurers	</div>|<div style="text-align: center;">	Masters gains a +4 on Initiative checks	</div>|<div style="text-align: center;">	Stat: Thrush	</div>|<br />
Fly	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Diviners	</div>|<div style="text-align: center;">	Masters gains a +3 on Gather information checks	</div>|<div style="text-align: center;">	Stat: Thrush but Fine size	</div>|<br />
Mink	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Enchanters	</div>|<div style="text-align: center;">	Masters gains a +3 on Diplomacy checks	</div>|<div style="text-align: center;">	Stat: Ferret	</div>|<br />
Spider	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Evokers	</div>|<div style="text-align: center;">	Masters gains a +3 on Sleight of hand checks	</div>|<div style="text-align: center;">	Stat: Mouse	</div>|<br />
Fox	|<div style="text-align: center;">	MMI p270	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Illusionists	</div>|<div style="text-align: center;">	Masters gains a +2 on Will saves	</div>|<div style="text-align: center;">	Stat: Cat	</div>|<br />
Vulture	|<div style="text-align: center;">	MMI p273	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Necromancers	</div>|<div style="text-align: center;">	Masters gains a +4 on Fortitude saves to resist disease	</div>|<div style="text-align: center;">	Stat: Hawk	</div>|<br />
Caterpillars	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Might be restrict to Transmuters	</div>|<div style="text-align: center;">	Masters gains a +3 on Disguise checks	</div>|<div style="text-align: center;">	Stat: Mouse	</div>|<br />
Butterfly or Moth	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#323 p98	</div>|<div style="text-align: center;">	Changed from Caterpillar at level 5th	</div>|<div style="text-align: center;">	Masters gains a +3 on Spellcraft checks	</div>|<div style="text-align: center;">	Stat: Thrush	</div>|<br />
Chameleon	|<div style="text-align: center;">	MMI p275	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Disguise checks	</div>|<div style="text-align: center;">	Stat: Lizard	</div>|<br />
Crow	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>|<div style="text-align: center;">	Stat: Raven	</div>|<br />
Dark Chanting Ghosthawk	|<div style="text-align: center;">	MMI p273	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +2 on Will saves	</div>|<div style="text-align: center;">	Stat: Hawk	</div>|<br />
Dog	|<div style="text-align: center;">	MMI p271	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Sense motives checks	</div>||<br />
Flying Fox	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Sleight of hand checks	</div>|<div style="text-align: center;">	Stat: Raven	</div>|<br />
Iguana	|<div style="text-align: center;">	MMI p275	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Climb checks	</div>|<div style="text-align: center;">	Stat: Lizard	</div>|<br />
Monkey	|<div style="text-align: center;">	MMI p276	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Tumble checks	</div>||<br />
Night Lizard	|<div style="text-align: center;">	MMI p275	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Hide checks	</div>|<div style="text-align: center;">	Stat: Lizard	</div>|<br />
Platypus	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Swim checks	</div>|<div style="text-align: center;">	Stat: Hedgehog with poison claw instead of quills and bite	</div>|<br />
Rabbit	|<div style="text-align: center;">	MMI p270	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Listen checks	</div>|<div style="text-align: center;">	Stat: Cat	</div>|<br />
Squirrel	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	#341 p88	</div>||<div style="text-align: center;">	Masters gains a +3 on Jump checks	</div>|<div style="text-align: center;">	Stat: Rat	</div>|<br />
Vampire Bat	|<div style="text-align: center;">	MMI p268	</div>|<div style="text-align: center;">	#341 p88	</div>|||<div style="text-align: center;">	Stat: Bat	</div>|<br />
Badger	|<div style="text-align: center;">	MMI p268	</div>|<div style="text-align: center;">	#352 p26	</div>||<div style="text-align: center;">	Masters gains a +3 on Knowledge(arcana) checks	</div>||<br />
Chipmunk	|<div style="text-align: center;">	#277 p65	</div>|<div style="text-align: center;">	#277 p65	</div>||<div style="text-align: center;">	Masters gains a +2 on Reflex saves	</div>|<div style="text-align: center;">	3.0	</div>|<br />
Eagle	|<div style="text-align: center;">	MMI p272	</div>|<div style="text-align: center;">	#277 p65	</div>|||<div style="text-align: center;">	3.0	</div>|<br />
Groundhog	|<div style="text-align: center;">	#277 p65	</div>|<div style="text-align: center;">	#277 p65	</div>||<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>|<div style="text-align: center;">	3.0	</div>|<br />
Otter	|<div style="text-align: center;">	#277 p65	</div>|<div style="text-align: center;">	#277 p65	</div>||<div style="text-align: center;">	Masters gains a +2 on Swim checks	</div>|<div style="text-align: center;">	3.0	</div>|<br />
Constrictor Snake (Small)	|<div style="text-align: center;">	#277 p65	</div>|<div style="text-align: center;">	#277 p65	</div>|||<div style="text-align: center;">	3.0	</div>|<br />
Raccoon	|<div style="text-align: center;">	#280 p61	</div>|<div style="text-align: center;">	#280 p61	</div>||<div style="text-align: center;">	Masters gains a +2 on Pick Pockets checks	</div>|<div style="text-align: center;">	3.0	</div>|<br />
Skunk	|<div style="text-align: center;">	#280 p61	</div>|<div style="text-align: center;">	#280 p61	</div>|||<div style="text-align: center;">	3.0	</div>|<br />
Golden the Clockwork Cat	|<div style="text-align: center;">	#299 p64	</div>|<div style="text-align: center;">	#299 p64	</div>|<div style="text-align: center;">	Might need to be purchased or crafted	</div>|<div style="text-align: center;">	Unclear none or as Cat (+2 Move silently)	</div>|<div style="text-align: center;">	3.0	</div>|<br />
[/table]</div>
</div><br />
Other option: Imbued Staff #338 p58<br />
<br />
<b>Improved Familiar</b><br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Reference</b>	|	<b>Caster level</b>	|	<b>Alignement</b>	|	<b>Other requirement</b>	<br />
Shocker lizard	|<div style="text-align: center;">	MMI p224	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	(optional: Electricity subtype)	</div>|<br />
Stirge	|<div style="text-align: center;">	MMI p236	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Formian Worker	|<div style="text-align: center;">	MMI p108	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Chaotic	</div>||<br />
Imp	|<div style="text-align: center;">	MMI p56	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>||<br />
Pseudodragon	|<div style="text-align: center;">	MMI p210	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Evil	</div>||<br />
Quasit	|<div style="text-align: center;">	MMI p46	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Lawful or Good	</div>||<br />
Celestial standard familiar	|<div style="text-align: center;">	MMI p31	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Good subtype	</div>|<br />
Fiendish standard familiar	|<div style="text-align: center;">	MMI p107	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Evil subtype	</div>|<br />
Air elemental, Small	|<div style="text-align: center;">	MMI p95	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Air subtype	</div>|<br />
Earth elemental, Small	|<div style="text-align: center;">	MMI p97	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Earth subtype	</div>|<br />
Fire elemental, Small	|<div style="text-align: center;">	MMI p98	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Fire subtype	</div>|<br />
Water elemental, Small	|<div style="text-align: center;">	MMI p100	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Water subtype	</div>|<br />
Homunculus	|<div style="text-align: center;">	MMI p154	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Undead type	</div>|<br />
Ice Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	DMG p200	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Ice subtype	</div>|<br />
Krenshar	|<div style="text-align: center;">	MMI p163	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	BaB +3	</div>|<br />
Worg	|<div style="text-align: center;">	MMI p256	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any Non Good	</div>|<div style="text-align: center;">	BaB +3	</div>|<br />
Blink Dog	|<div style="text-align: center;">	MMI p28	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Evil	</div>|<div style="text-align: center;">	BaB +5	</div>|<br />
Hell Hound	|<div style="text-align: center;">	MMI p151	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Non Chaotic and Non Good	</div>|<div style="text-align: center;">	BaB +5	</div>|<br />
Hippogriff	|<div style="text-align: center;">	MMI p152	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	BaB +7	</div>|<br />
Howler	|<div style="text-align: center;">	MMI p154	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Lawful and Non Good	</div>|<div style="text-align: center;">	BaB +7	</div>|<br />
Winter Wolf	|<div style="text-align: center;">	MMI p256	</div>|<div style="text-align: center;">	CW p100	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any Non Good	</div>|<div style="text-align: center;">	BaB +7	</div>|<br />
Spark Guardian	|<div style="text-align: center;">	CW p119	</div>|<div style="text-align: center;">	CW p118	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Gauntlet Guardian	|<div style="text-align: center;">	CW p120	</div>|<div style="text-align: center;">	CW p118	</div>|<div style="text-align: center;">	9th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Blade Guardian	|<div style="text-align: center;">	CW p120	</div>|<div style="text-align: center;">	CW p118	</div>|<div style="text-align: center;">	11th	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Craft construct feat	</div>|<br />
Monstrous centipede, Small	|<div style="text-align: center;">	MMI p286	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	2nd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Badger	|<div style="text-align: center;">	MMI p268	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Monstrous scorpion, Small	|<div style="text-align: center;">	MMI p287	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Snake, Viper, Medium	|<div style="text-align: center;">	MMI p279	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	3rd	</div>|<div style="text-align: center;">	Any	</div>||<br />
Monstrous spider, Small	|<div style="text-align: center;">	MMI p288	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	4th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Vargouille	|<div style="text-align: center;">	MMI p254	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	6th	</div>|<div style="text-align: center;">	Any Non Good	</div>||<br />
Air Mephit	|<div style="text-align: center;">	MMI p181	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Dust Mephit	|<div style="text-align: center;">	MMI p181	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Earth Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Fire Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Ice Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Magma Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Ooze Mephit	|<div style="text-align: center;">	MMI p182	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Salt Mephit	|<div style="text-align: center;">	MMI p183	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Steam Mephit	|<div style="text-align: center;">	MMI p183	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Water Mephit	|<div style="text-align: center;">	MMI p184	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Glass Mephit	|<div style="text-align: center;">	Sa p175	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Sulfur Mephit	|<div style="text-align: center;">	Sa p176	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Mirror Mephit	|<div style="text-align: center;">	EDP p208	</div>|<div style="text-align: center;">	CS p78	</div>|<div style="text-align: center;">	7th	</div>|<div style="text-align: center;">	Any	</div>||<br />
Fire Bat	|<div style="text-align: center;">	MMII p102	</div>|<div style="text-align: center;">	MMII P103	</div>|<div style="text-align: center;">	15th 	</div>|<div style="text-align: center;">	Any	</div>|<div style="text-align: center;">	Fire subtype	</div>|<br />
Clockwork Mender	|<div style="text-align: center;">	MMIV P31	</div>|<div style="text-align: center;">	MMIV P30	</div>|<div style="text-align: center;">	5th	</div>|<div style="text-align: center;">	Any Lawful	</div>||<br />
