,Name,Reference,Pantheon,Align,Rank,Nicknames / Portfolio,Domains,Weapon,Symbol
11,Odin ,(D&D p167),Asgard,NG,G,"“All-Father, Father of the Slain”, “God of the Hanged”
Knowledge, Magic, Supreme War","Air, Knowledge, Magic, Travel, Trickery, War",Shortspear,Watching Blue Eye
12,Odur ,(D&D p186),Asgard,CG,D,"“God of the Sun”
Light, Sun, Travel","Chaos, Fire, Sun",Bastard Sword,Sun Disk
13,Sif ,(D&D p187),Asgard,CG,L,"“Goddess of Excellence and Skill in Battle”
War, Dueling","Chaos, Good, War",Longsword,Upraised Sword
14,Skadi ,(D&D p190),Asgard,N,L,"“Goddess of Mountains”
Earth, Mountains","Destruction, Earth, Strength",Greataxe,Mountain Peak
15,Surtur ,(D&D p190),Asgard,LE,I,"“Lord of the Fire Giants”
Fire, War","Evil, Fire, Law, Strength, War",Longsword,Flaming Sword
16,Thor ,(D&D p192),Asgard,CG,G,"“God of Thunder”
Storms, Thunder, War","Chaos, Good, Protection, Strength, War, Weather",Warhammer,Hammer
17,Tyr ,(D&D p195),Asgard,LN,I,"“God of Courage and Strategy”
Courage, Trust, Strategy, Tactics, Writing","Law, Protection, War",Longsword,Sword
18,Uller ,(D&D p197),Asgard,CN,L,"“God of Hunting, Archery, and Winter”
Archers, Hunting, Winter","Chaos, Protection, Travel",Longbow,Longbow
19,Chalchihuitlicue ,(DR354 p090),Aztec,NG,L,"“She of the Skirt of Jade”
Water, Beauty, Youth","Good, Healing, Luck, Water",Trident,
20,Cihuacoatl ,(DR356 p091),Aztec,N,I,"“Snake Woman”, “The Hungry Woman”
Earth, Birth, Death","Animal, Death, Earth, Plant",Pick,Snake-Headed Woman with a Skirt of Snakes
21,Huitzilopochtlli ,(DR356 p091),Aztec,LE,L,"“Hummingbird of the South”
War, Conquest, Aztecs","Evil. Law, Strength, War","Macahuitl
(stone-edged longsword)",
22,Quetzalcoatl ,(DR352 p097),Aztec,LG,G,"“The Feathered Serpent”
Air, Civilization","Air, Good, Law, Protection, Travel",Mace,Snake with Feathers
23,Tezcatlipoca ,(DR352 p097),Aztec,CE,G,"“The Smokey Mirror”
Night, Mischief","Chaos, Evil, Knowledge, Magic, Trickery",Dagger,Mirror of Polished Obsidian
24,Tlaloc ,(DR354 p091),Aztec,LE,I,Rain,"Air, Law, Plant, Water",Sickle,
25,Tonatiuh ,(DR358 p089),Aztec,NE,I,"“Nanhuatl, the God of Misfortune”
Sun, Misfortune","Destruction, Evil, Sun, War",Shortbow,Face blazing like the Sun
26,Xipetotec ,(DR358 p089),Aztec,LN,I,"“The Flayed Lord”
Agriculture, Sacrifice","Earth, Law, Luck, Plant",Flail,
27,Anshar ,(Sand p47),Babylonian,NE,,,"Evil, Magic, Trickery",Dagger,
28,Dahak ,(Sand p47),Babylonian,CE,,,"Chaos, Death, Evil",Scimitar,
29,Druaga ,(Sand p47),Babylonian,LE,,,"Evil, Law, Trickery",Mace,
30,Gilgamesh ,(Sand p47),Babylonian,NG,,,"Good, Strength, Travel, War",Mace,
31,Girru ,(Sand p47),Babylonian,LG,,,"Fire, Good, Law, Magic",Morningstar,
32,Ki ,(Sand p47),Babylonian,N,,,"Animal, Luck, Plant",Quarterstaff,
33,Nanna-Sin ,(Sand p47),Babylonian,CG,,,"Chaos, Luck, Good",Battleaxe,
34,Utu ,(Sand p47),Babylonian,CG,,,"Chaos, Fire, Good, Sun",Scimitar,
35,Anu ,"(Sand p47)
(DR329 p036)","Combo
Babylonian
Mesopo-tamian",LN,G,"“Sky Father”
Sky","Air, Knowledge, Law, Magic, Protection, Travel",Mace,Star
36,Auril ,"(F&P p091)
(Frost p42) 
(DR323 p65)+","Combo
Forgotten Realms
Frostfell",NE,L,"“Frostmaiden”, “Icedawn”, “Cold Goddess”
Cold, Winter","Air, Cold, Evil, Storm, Water, Winter, Wrath","Battle Axe –or– Ice Axe
“Icemaiden’s Caress”",White Snowflake on a Gray Diamond
37,Bahamut ,"(CDiv p108)
(D&D p058)
(Dcn p032) 
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Dragon",LG,L,"“The Platinum Dragon”, “King of the Good Dragons”, “Lord of the North Wind”
Good Dragons, Wind","Air, Cold, Dragon, Good, Luck, Nobility, Patience, Pride, Protection, Storms","Pick, Heavy –or– Bite",Star above a Milky Nebula
38,Blibdoolpoolp ,"(CDiv p124) 
(F&P p221)
(Storm p49)
(DR342 p74)+","Combo
Monster
The Waters",NE,I,Kua-Toa,"Blackwater, Destruction, Evil, Water, Watery Death",Pincer Staff,Lobster’s Head and a Black Pearl
39,Boccob ,"(PH p106)
(CDiv p110)
(D&D p060)
(LLG p167) 
(DR338 p38)+","Combo
Core
Greyhawk",N,G,"“The Uncaring”, “Archmage of the Deities”
Magic, Arcane Knowledge, Foresight, Balance","Knowledge, Magic, Mind, Oracle, Trickery","Quarterstaff
“Staff of Boccob”",Pentagram with an Eye in the Middle
40,Clangeddin Truesilver ,"(F&P p116) (DR323 p65)+ 
(DR355 p26)+","Combo
Forgotten Realms
Dwarf",LG,I,"“Father of Battle”, “Lord of the Twin Axes”, “The Rock of Battle”
Battle, War, Valor, Bravery, Honor in Battle","Dwarf, Good, Law, Strength, Temperance, War, Wrath","Battleaxe
“Giantbane”",Two Crossed Battleaxes
41,Corellon Larethian ,"(PH p106)
(CDiv p110)
(D&D p062)
(F&P p125)
(RotW p20) 
(DR323 p65)+ 
(DR355 p26)+","Combo
Elf
Core",CG,G,"“Creator of the Elves”, “First of the Seldarine”, “Coronal of Arvandar”
Elves (especially Sun Elves), Magic, Music, Arts, Poetry, Bards","Chaos, Community, Elf, Good, Magic, Pride, Protection, War, Zeal","Longsword
“Sahandrian”",Crescent Moon
42,Deep Duerra ,(F&P p117),"Combo
Forgotten Realms
Dwarf",LE,D,"“Queen of the Invisible Art”, “Axe Princess of Conquest”
Psionics, Conquest, Expansion","Dwarf, Evil, Law, Mentalism, War","Battleaxe
“Mindshatter”",Broken Illithid Skull
43,Deep Sashelas ,"(CDiv p124)
 (F&P p125) (RotW p21)
(Storm p49)","Combo
Elf
Forgotten Realms
The Waters",CG,I,"“Lord of Undersea”, “The Dolphin Prince”
Aquatic Elves, Oceans, Creation, Knowledge","Chaos, Elf, Good, Knowledge, Ocean, Protection, Water","Trident
“Trifork of the Deeps”",Dolphin
44,Devourer ,"(Eb p69)
(FoE p49) 
(Storm p49) 
 (PGE p33)+ 
(DR323 p65)+ 
(FoE p38)+","Combo
Eberron – D6
The Waters",NE,,"“Sovereign of Wave & Whelm”, “Lord of Maelstroms”, “Shurkaan”
Devistation, Hunger, Nautical Travel, Storms, Water","Cold, Destruction, Evil, Gluttony, Pestilence, Ocean, Storm, Water, Weather",Trident,Bundle of Five Sharpened Bones
45,Dugmaren Brightmantle ,"(F&P p117) 
(DR355 p26)+","Combo
Forgotten Realms
Dwarf",CG,L,"“The Gleam in the Eye”, “The Errant Explorer”
Scholarship, Invention, Discovery","Chaos, Craft, Dwarf, Good, Knowledge, Patience, Rune","Shortsword
“Sharptack”",Open Book
46,Dumathion ,"(F&P p118) 
(DR323 p65)+","Combo
Forgotten Realms
Dwarf",N,I,"“Keeper of Secrets under the Mountain”, “The Silent Keeper”
Buried Wealth, Ore, Gems, Mining, Exploration, Shield Dwarves","Cavern, Craft, Dwarf, Earth, Greed, Knowledge, Metal, Pride, Protection","Maul
“Magmahammer”",Faceted Gem inside a Mountain
47,Ea ,"(Sand p47)
(DR329 p037)","Combo
Babylonian
Mesopo-tamian","LG
(LN)",I,"“Enki”
Fresh Water, Wisdom","Earth, Good, Knowledge, Law, Magic, Water",Trident –or– Mace,Ram-headed Fish
48,Eadro ,"(CDiv p124)
 (Storm p49)","Combo
The Waters
Monster",N,I,"Locathah, Merfolk, Tritons","Animal, Protection, Seafolk, Water",Longspear,Spiral –or– Whirlpool
49,Ehlonna ,"(PH p107)
(CDiv p110)
 (D&D p064)
(LLG p169) 
(DR342 p89)+ 
(DR355 p26)+","Combo
Core
Greyhawk",NG,I,"“Ehlonna of the Forest”
Forests, Flora, Fauna, Fertility","Animal, Celerity, Good, Hunt, Plant, Sun, Temperance","Longbow
“Jenevier”",Unicorn
50,Eilistraee ,"(F&P p023) 
(DR323 p65)+
(DR342 p89)+","Combo
Forgotten Realms
Drow",CG,L,"“The Dark Maiden”, “Lady of the Dance”
Song, Beauty, Dance, Swordwork, Hunting, Moonlight","Chaos, Charm, Drow, Elf, Good, Hunt, Lust, Moon, Night, Portal’","Bastard Sword
“The Moonsword”",Nude Long-Haired Female Drow Dancing with a Sword in front of a Full Mon
51,Enlil ,"(Sand p47)
(DR329 p038)","Combo
Babylonian
Mesopo-tamian","LN
(NG)",I,"Atmosphere, Law, Order","Air, Animal, Good, Law, Luck, Protection, War",Pick,Circlet
52,Erythnul ,"(PH p107) 
(CDiv p111)
 (D&D p066)
 (LLG p170)
(DR323 p65)+","Combo
Core
Greyhawk","CE
(CN)",I,"“The Many”
Slaughter, Panic, Malice","Chaos, Evil, Gluttony, Madness, Trickery, War, Wrath","Morningstar
“Agony”",Asymmetric Monstrous Face
53,Fharlanghn ,"(PH p107)
(CDiv p111)
 (D&D p067)
 (LLG p170) 
(DR355 p26)+","Combo
Core
Greyhawk","N
(NG)",I,"“The Dweller on the Horizon”
Roads, Travel, Distance","Balance, Celerity, Generosity, Luck, Portal, Protection, Travel, Weather","Quarterstaff
“Traveler’s Friend”",Disk with a Horizon line & a Sliver of Moon over it
54,Garl Glittergold ,"(PH p107)
(CDiv p112)
 (D&D p069)
 (F&P p135)
(RoS p43)
(DR323 p65)+","Combo
Gnome
Core",NG / LG,G,"“The Joker”, “The Priceless Gem”
Gnomes, Humor, Wit, Illusion, Gem-Cutting, Jewelry-Making","Community, Craft, Creation, Envy, Gnome, Good, Greed, Law, Protection, Trickery","Battleaxe
“Arumdina”",Gold Nugget
55,Geshtai ,"(CDiv p122)
 (LGG p171)
(Storm p49)","Combo
Greyhawk
The Waters",N,L,"“Daughter of the Oasis”
Lakes, Rivers, Wells, Streams","Plant, Travel, Water, Weather",Shortspear,Waterspout
56,Ghaunadaur ,"(F&P p111)
(LoM p177)","Combo
Forgotten Realms
Drow",CE,L,"“That Which Lurks”, “The Elder Eye”
Oozes, Slimes, Jellies, Outcasts, Ropers, Rebels","Cavern, Chaos, Corruption, Drow, Evil, Hatred, Slime","Warhammer
(amorphous tentacle)","Purplish Eye on Purple, Violet, & Black Circles"
57,Gorm Gulthyn ,(F&P p118),"Combo
Forgotten Realms
Dwarf",LG,L,"“Fire Eyes”, “Lord of the Bronze Mask”, “The Eternally Vigilant”
Guardian of All Dwarves, Defense, Watchfulness","Dwarf, Good, Law, Protection, War","Battleaxe
“Axeguard”",Shining Bronze Mask with Eyeholes of Flame
58,Gruumsh ,"(PH p107)
(CDiv p112)
 (D&D p071)
 (F&P p148) 
(DR323 p65)+","Combo
Orc
Core",CE,G,"“One-Eye”,“He Who Never Sleeps”
Orcs, Conquest, Strength","Cavern, Chaos, Domination, Evil, Hatred, Lust, Orc, Strength, War, Wrath","Spear
“The Bloodspear”",Unwinking Eye
59,Haela Brightaxe ,"(F&P p119) 
(DR355 p26)+","Combo
Forgotten Realms
Dwarf",CG,D,"“Lady of the Fray”, “Luckmaiden”
Luck in Battle, Joy of Battle, Dwarven Fighters","Chaos, Destiny, Dwarf, Good, Luck, War, Zeal","Greatsword
“Flamebolt”",Unsheathed Sword wrapped in a spiral of flame
60,Hathor ,"(D&D p145)
(F&P p142) 
(Sand p47)
 (DR323 p65)+","Combo
Pharaonic
Mulhorandi",NG,L,"“Goddess of Music, Dance, Art, & Inspiration”, “Nurturing Mother”
Love, Music, Dance, Moon, Fate, Motherhood","Community, Family, Fate, Good, Luck, Lust, Moon, Protection, Sloth",Longsword –or– Shortsword,Horned Cow’s Head with a Lunar Disk
61,Heironeous ,"(PH p107) 
(CDiv p112)
 (D&D p072)
 (LGG p171)
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",LG,I,"“The Invincible”, “Arch-Paladin”
Justice, Valor, Chivalry, Honor","Destiny, Glory, Good, Inquinistion, Law, Pride, Temperance, War, Wrath, Zeal","Longsword
“Justice Bringer”",Silver Lightning Bolt held in a Fist
62,Hextor ,"(PH p107) 
(CDiv p113)
 (D&D p075)
 (LGG p172)
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",LE,I,"“Herald of Hell”, “Scourge of Battle”
War, Conflict, Destruction, Tyrrany, Fitness","Destruction, Domination, Evil, Law, Pride, War, Wrath, Zeal","Flail
“Executioner”",Gauntlet holding Arrows
63,Ishtar ,"(Sand p47)
(DR329 p040)","Combo
Babylonian
Mesopo-tamian","CN
(N)",I,"Love, War","Animal, Chaos, Magic, Strength, Summer, Trickery, War",Shortsword –or– Light Flail,Spear (?)
64,Ishtishia ,"(F&P p098)
(Storm p49)","Combo
Forgotten Realms
The Waters",N,G,"“The Water Lord”, “King of the Water Elementals”
Elemental Water, Purification","Destruction, Ocean, Storm, Travel, Water","Warhammer
(a wave)",Cresting Wave
65,Isis ,"(D&D p148)
(F&P p144) 
(DR323 p65)+","Combo
Pharaonic
Mulhorandi",NG,G,"“Goddess of Magic & Fertility”, “Lady of Rivers”
Fertility, Magic, Marriage, Rivers, Weather, Love","Family, Good, Lust, Magic, Protection, Storm, Water",Quarterstaff –or– Punching Dagger,Ahnk and Star on a Lunar Disk
66,Joramy ,"(CDiv p122)
 (LGG p173)
(Sand p46) 
(DR323 p65)+","Combo
Greyhawk
The Waste","N
(NG)",L,"“The Shrew”
Fire, Volcanoes, Wrath, Anger, Quarrels","Competition, Destruction, Fire, Water, War, Wrath",Quarterstaff,Volcano
67,Kiaransalee ,"(F&P p112) 
(DR322 p88)+
(DR323 p65)+","Combo
Forgotten Realms
Drow",CE,D,"“Lady of the Dead”, “The Revenancer”, “The Vengeful Banshee”
Undead, Vengeance","Chaos, Drow, Envy, Evil, Pride, Retribution, Undeath","Dagger
“Cold Heart”",Female Drow Hand wearing Silver Rings
68,Kikanuti ,(Sand p46),"Combo
The Waste
Monster",NG,,"Bhukas, Fertility","Earth, Good, Magic, Protection, Plant, Summer","Mace
(clay pot)",Tall Clay Pot pained with a stylized Bird
69,Kord ,"(PH p107) 
(CDiv p113)
 (D&D p077)
 (LGG p174)
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",CG,I,"“The Brawler”
Athletics, Sports, Courage, Strength, Courage","Chaos, Chastity, Competition, Good, Luck, Strength, Wrath, Zeal","Greatsword
“Kelmar”",Star composed of Spears & Maces
70,Kurtulmak ,"(CDiv p113) 
(F&P p221)
 (RotD p48)
(D&D p079)
 (wRotD2)+ 
(DR323 p65)+","Combo
Core
Monster",LE,I,"“Horned Sorcerer”, “Steelscale”, “Stingtail”, “The Watcher”
Kobolds, Trapmaking, Mining, War","Earth, Envy, Evil, Hatred, Kobold, Law, Luck, Scalykind, Trickery, War","Spear
“Foe Stinger”",Gnome Skull
71,Laduguer ,"(CDiv p124) 
(F&P p120)
(MM p91)
(RoS p18)
(DR325 p66)","Combo
Forgotten Realms
Dwarf",LE,I,"“The Exile”, “Gray Protector”
Druergar, Magic Weapons, Artisans, Magic","Craft, Domination, Dwarf, Earth, Evil, Law, Magic, Metal, Protection, War","Warhammer
“Grimhammer”",Broken Crossbow Bolt
72,Levistus ,"(Tot9H p28)
(Frost p42)
(BoVD p154)","Combo
Devil
Frostfell",LE,,"“Lord of the Fifth Layer of Hell”
Vengeance, Betrayal","Cold, Diabolic, Evil, Trickery, War",Rapier,Thin Sword thrust into a Block of Ice –or– an Iron Cauldron
73,Lolth ,"(CDiv p114)
 (F&P p040)
(D&D p081)
 (RotW p22)+ (DR323 p65)+
(Drow p19)+","Combo
Core
Forgotten Realms
Drow",CE,I,"“Queen of the Demonweb Pits”, “Queen of Spiders”
Assassins, Chaos, Darkness, Drow, Evil, Spiders","Chaos, Destruction, Drow, Envy, Evil, Darkness, Destruction, Lust, Portal’, Pride, Spider, Trickery, Wrath",Dagger –or– Whip,Black Spider with Female Drow Head hanging from a Spider Web
74,Marduk ,"(Sand p47)
(DR329 p042)","Combo
Babylonian
Mesopo-tamian","LG
(LN)",L,Defense against Evil,"Air, Fire, Law, Luck, Protection, War",Net,Dragon
75,Marthammor Duin ,(F&P p120),"Combo
Forgotten Realms
Dwarf",NG,L,"“Finder-of-Trails”, “Watcher over Wanderers”, “The Watchful Eye”
Guides, Explorers, Expatriates, Travelers, Lightning","Dwarf, Good, Protection, Travel","Mace, Heavy
“Glowhammer”",Upright Mace in front of a Fur-Trimmed Leather Boot
76,Moradin ,"(PH p107)
(CDiv p115)
 (D&D p082)
 (F&P p120)
(RoS p17) 
(DR323 p65)+","Combo
Core
Dwarf
Forgotten Realms",LG,G,"“Soul Forger”, “Dwarf-Father”
Dwarves, Creation, Smithing, Engineering, War","Craft, Creation, Dwarf, Earth, Good, Greed, Law, Portal, Pride, Protection, Wrath","Warhammer
“Soulhammer”",Hammer & Anvil
77,Nephthys ,"(D&D p149)
(F&P p145)
(Sand p47)","Combo
Pharaonic
Mulhorandi",CG,I,"“Protector of the Dead”, “Avenging Mother”
Dead, Grief, Wealth, Trade","Chaos, Good, Greed, Protection, Repose, Trade",Mace –or– Whip,Horns around a Lunar Disk –or– Gold Offering Bowl topped with an Anhk
78,Nergal ,"(Sand p47)
(DR329 p040)","Combo
Babylonian
Mesopo-tamian","CE
(NE)",L,"Death, Destruction, Plagues","Chaos, Death, Destruction, Earth, Evil",Mace –or– Longsword,Lion-headed Mace
79,Nerull ,"(PH p108)
(CDiv p116)
 (D&D p084)
 (LGG p177)
(LM p17)+ 
(DR323 p65)+","Combo
Core
Greyhawk",NE,G,"“The Reaper”, The Foe of All Good”, “Hater of Life”
Death, Darkness, Murder, Underworld","Death, Envy, Evil, Pestilence, Trickery","Scythe
“Life Cutter”",Skull & Scythe
80,Obad-Hai ,"(PH p108)
(CDiv p116)
 (D&D p087)
 (LGG p178) 
(DR342 p89)","Combo
Core
Greyhawk",N,I,"“The Shalm”
Nature, Wilderness, Hunting, Freedon","Air, Animal, Balance, Earth, Fire, Hunt, Plant, Water, Weather","Quarterstaff
“Shalmstaff / Storm’s Touch”",Leaves & Acorns forming a Face
81,Olidammara ,"(PH p108) 
(CDiv p116)
 (D&D p089)
 (LGG p178)
(DR323 p65)+","Combo
Core
Greyhawk",CN,I,"“Laughing Rogue”
Music, Revels, Wine, Humor, Rogues, Tricks","Celerity, Chaos, City, Greed, Luck, Lust, Mind, Sloth, Trickery","Rapier
“Swiftstrike”",Asymmetric Black & White Mask
82,Orcus ,"(HotA p073)
(F&P p221)
(LM p018)","Combo
Demon
Undead",CE,L,"“Demon Prince of Undeath”, “Tenebrous”
Undeath, Revenge","Chaos, Darkness, Death, Demonic, Evil, Undeath",Mace,Skull-headed Rod
83,Osiris ,"(D&D p151)
(F&P p146) 
(Sand p47)
(DR323 p65)+","Combo
Pharaonic
Mulhorandi",LG,G / I,"“God of Life and Death”, “Judge of the Dead”
Harvest, Nature, Underworld, Justice, The Dead","Air, Earth, Good, Law, Plant, Pride, Repose, Retribution","Flail
“Just Reward”",White Crown over a Crook and Flail
84,Pelor ,"(PH p108) 
(CDiv p117)
 (D&D p090)
 (LGG p178) 
(DR321 p68)+
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",NG,G,"“Sun Father”, “The Shining One”
Sun, Light, Strength, Healing","Charity, Destiny, Glory, Good, Healing, Pride, Portal, Radiance, Strength, Sun","Mace
“Sun Scepter”",Face in the Sun
85,Procan ,"(CDiv p123)
 (LGG p180)
(Storm p49)
(DU106 p41) 
(DR323 p65)+","Combo
Greyhawk
The Waters",CN,I,"“The Storm Lord”, “Sailor of Sea and Sky”
Seas, Sea Life, Salt, Sea Weather, Navigation","Animal, Chaos, Storm, Travel, Water, Weather, Wrath",Trident –or– Longspear,Crashing Wave –or– Trident Piercing a Cresting Wave
86,Sehanine Moonbow ,"(F&P p129)
(RotW p23)
(LGG p183)","Combo
Elf
Greyhawk",CG,I,"“Daughter of the Night Sky”
Mysticism, Dreams, Death, Journeys, Transcendence, The Moon, The Stars, The Heavens","Chaos, Elf, Good, Illusion, Knowledge, Travel, Trickery","Quarterstaff
“Moonshaft”",Crescent Moon over a Full Moon
87,Sekolah ,"(CDiv p124) 
 (Storm p49)","Combo
Monster
The Waters",LE,L,Sahuagin,"Blackwater, Evil, Law, Strength, War",Trident,Shark’s Dorsal Fin cutting the Water
88,Selvetarm ,"(F&P p113)
(DR323 p65)+","Combo
Forgotten Realms
Drow",CE,D,"“Champion of Lloth”, “The Spider that Waits”
Drow Warriors","Chaos, Drow, Evil, Spider, War, Wrath","Mace, Heavy
“Venomace”",Spider on a Crossed Sword & Mace
89,Set ,"(D&D p154)
(F&P p147)
(Sand p46) 
(DR323 p65)+","Combo
Pharaonic
The Waste
Mulhorandi",CE / LE,G / I,"“Defiler of the Dead”, “Father of Jackals”, “Lord of Carrion”
Darkness, Evil, Desert Storms, Drought, Snakes, Murder","Air, Chaos, Darkness, Destruction, Envy, Evil, Hatred, Law, Magic, Pride, Scalykind, Strength, Wrath","Shortspear –or– Halfspear
“Spear of Darkness”",Coiled Cobra
90,Sharindlar ,"(F&P p122) 
(DR323 p65)+ 
(DR355 p26)+","Combo
Forgotten Realms
Dwarf",CG,I,"“Lady of Life and Mercy”, “The Shining Dancer”
Healing, Mercy, Romantic Live, Fertility, Dancing, Courtship, The Moon","Charity, Chaos, Chastity, Charm, Dwarf, Good, Healing, Lust, Moon, Sloth","Whip
“Fleebite”",Flame Ring rising from a Steel Needle
91,St. Cuthbert ,"(PH p108) 
(CDiv p117)
 (D&D p091)
 (LGG p182)
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",LN,I,"“St. Cuthbert of the Cudgel”
Common Sense, Truth, Discipline, Retribution, Zeal","Destiny, Destruction, Domination, Humility, Law, Portal, Protection, Strength, Wrath, Zeal","Mace
“The Mace of Cuthbert”",Two Concentric Circles quartered by Lines
92,Telchur ,"(CDiv p123)
 (LGG p184) 
(Frost p42)","Combo
Greyhawk
Frostfell",CN,L,"“Icebrother”
Winter, Cold, North Wind","Air, Chaos, Cold, Strength, Winter",Shortspear –or– Shortbow,Leafless Tree in a  Field of Snow
93,Thard Harr ,"(F&P p122) 
(DR323 p65)+","Combo
Forgotten Realms
Dwarf",CG,L,"“Lord of the Jungle Deeps”
Wild Dwarves, Jungle Survival, Hunting","Animal, Chaos, Dwarf, Good, Plant, Wrath","Spiked Gauntlet
(clawed gauntlet)",Two crossed Scaly Clawed Gauntlets of Silvery-Blue Metal
94,Thoth ,"(D&D p156)
(F&P p147)
(Sand p47) 
(DR355 p26)+","Combo
Pharaonic
Mulhorandi",N,I,"“Scribe of the Gods”, “Keeper of Knowledge”
Knowledge, Wisdom, Learning ","Craft, Humility, Knowledge, Magic, Rune, Spell","Quarterstaff
“Knowledge Keeper”",Ankh above an Ibis Head
95,Thrym ,"(CDiv p124) 
 (D&D p194)
(Frost p42)","Combo
Asgard
Frostfell
Monster",CE,I,"“Lord of Frost Giants”
War, Cold, Frost Giants","Chaos, Cold, Destruction, Earth, Evil, Strength, War",Greataxe,White Double-Bladed Axe
96,Tiamat ,"(CDiv p117)
 (D&D p093)
(Dcn p035)
 (MM4 p128)
(F&P p108)
(DR323 p65)+","Combo
Core
Forgotten Realms
Dragon",LE,L,"“The Dragon Queen”, “Nemesis of the Gods”, “The Dark Lady”
Evil Dragon, Evil Reptiles, Greed, Chessenta","Destruction, Dragon, Evil, Greed, Hatred, Law, Pride, Scalykind, Trickery, Tyranny, Wrath","Pick, Heavy –or– Bite",Five-Headed Dragon
97,Ulutiu ,"(F&P p109)
(Frost p42)","Combo
Forgotten Realms
Frostfell",LN,D,"“The Lord in the Ice”, “The Eternal Sleeper”, “Father of the Giants’ Kin”
Glaciers, Polar Environments, Arctic Dwellers","Animal, Law, Ocean, Protection, Strength",Longspear –or– Shortspear,Necklace of Blue & White Crystals
98,Valkur ,"(F&P p110)
(Storm p49) 
(DR323 p65)+","Combo
Forgotten Realms
The Waters",CG,D,"“The Mighty”, “Captain of the Waves”
Sailors, Ships, Favorable Winds, Naval Combat","Air, Chaos, Good, Ocean, Protection, Wrath","Cutlass
“The Captain’s Cutlass”",Shield with a Cloud & Three Lighting Bolts
99,Vatun ,"(LGG p185) 
(Frost p52)","Combo
Greyhawk
Frostfell",CN,L,"“The North God”
Northern Barbarians, Cold, Winter, Arctic Beasts","Air, Animal, Chaos, Snow, Strength",Battleaxe,Setting Sun on a Snowy Landscape
100,Vecna ,"(PH p108) 
(CDiv p118)
 (D&D p094)
 (LGG p186) 
(DR323 p65)+","Combo
Core
Greyhawk",NE,L,"“The Maimed Lord”, “The Whispered One”
Secrets, Intrigue","Destiny, Evil, Knowledge, Madness, Magic, Portal, Pride","Dagger
“Afterthought”",Left Hand holding an Eye
101,Vergadain ,"(F&P p123) 
(DR323 p65)+","Combo
Forgotten Realms
Dwarf",N,I,"“Merchant King”, “The Short Father”, “The Laughing Dwarf”
Wealth, Luck, Chance, Non-Evil Thieves, Suspicion, Trickery, Negotiation, Sly Cleverness","Dwarf, Greed, Gluttony, Luck, Sloth, Trade, Trickery","Longsword
“Goldseeker”",Gold Piece
102,Vhaeraun ,"(F&P p113)
(DR323 p65)+","Combo
Forgotten Realms
Drow",CE,L,"“The Masked Lord”, “The Masked God of Night”
Thievery, Drow Males, Evil activity on the Surface","Chaos, Drow, Envy, Evil, Greed, Pride, Travel, Trickery","Shortsword
“Shadowflash”",Pair of Black Glass Lenses that form a Mask
